tvil_hotel_id,name,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
1314294,"Гостиница ""Ангара-Приоритет""",Ангарск,"Ангарск, квартал Б, 13",,,https://tvil.ru/city/angarsk/hotels/1314294/,31,2026-03-19,2026-03-20
2063101,"Гостиница ""Азия-Европа""",Иркутск,"Иркутск, улица Ядринцева, 1/7",,,https://tvil.ru/city/irkutsk/hotels/2063101/,19,2026-03-19,2026-03-20
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",Иркутск,"Иркутск, улица Дзержинского, 50",,,https://tvil.ru/city/irkutsk/hotels/1048431/,15,2026-03-19,2026-03-20
904225,"Отель ""Михаил Строгов""",Иркутск,"Иркутск, Депутатская улица, 36",,,https://tvil.ru/city/irkutsk/hotels/904225/,21,2026-03-19,2026-03-20
1655828,"Апарт-отель ""Светлый""",Иркутск,"Иркутск, Первая, 2а/2",,,https://tvil.ru/city/irkutsk/hotels/1655828/,6,2026-03-19,2026-03-20
1775519,"Гостиница ""Nord Star Hotel""",Иркутск,"Иркутск, улица Седова, 4",,,https://tvil.ru/city/irkutsk/hotels/1775519/,12,2026-03-19,2026-03-20
1851647,"Парк-Отель ""Шелест""",Черемхово,"Черемхово, улица Марата, 109",,,https://tvil.ru/city/cheremhovo/hotels/1851647/,8,2026-03-19,2026-03-20
1441288,Отель Армат 4*,Иркутск,"Иркутск, улица Ширямова, 33",,,https://tvil.ru/city/irkutsk/hotels/1441288/,40,2026-03-19,2026-03-20
1367592,"Отель ""Атлас""",Иркутск,"Иркутск, проезд Атласова, 9",,,https://tvil.ru/city/irkutsk/hotels/1367592/,28,2026-03-19,2026-03-20
1472664,"Гостиница ""Байкал Форест""",Иркутск,"Иркутск, Советская улица, 58/1",,,https://tvil.ru/city/irkutsk/hotels/1472664/,76,2026-03-19,2026-03-20
424345,"Гостиничный комплекс ""Лазурный берег""",Иркутск,"Иркутск, Байкальская улица, 252Б",,,https://tvil.ru/city/irkutsk/hotels/424345/,66,2026-03-19,2026-03-20
1450305,Дача БайкалЭко,Хужир,"Хужир, Лесная улица, 32",,,https://tvil.ru/city/huzhir/hotels/1450305/,10,2026-03-19,2026-03-20
425543,"Отель ""Звезда""",Иркутск,"Иркутск, улица Ядринцева, 1-Ж",,,https://tvil.ru/city/irkutsk/hotels/425543/,64,2026-03-19,2026-03-20
1296594,"Отель ""Тайга""",Иркутск,"Иркутск, улица Сурикова, 4В",,,https://tvil.ru/city/irkutsk/hotels/1296594/,44,2026-03-19,2026-03-20
1508283,"Гостиница"" Аврора""",Иркутск,"Иркутск, улица Карла Либкнехта, 7Б",,,https://tvil.ru/city/irkutsk/hotels/1508283/,7,2026-03-19,2026-03-20
1390108,"Гостиница  ""Воробьевы горы""",Иркутск,"Иркутск, Ольхонский район, местность Тутай, 1, 1",,,https://tvil.ru/city/irkutsk/hotels/1390108/,11,2026-03-19,2026-03-20
1097942,Hotel Olhon 2*,Хужир,"Хужир, Байкальская улица, 64/1",,,https://tvil.ru/city/huzhir/hotels/1097942/,28,2026-03-19,2026-03-20
1632075,"Отель"" Арбат""",Ангарск,"Ангарск, 192 квартал, 7",,,https://tvil.ru/city/angarsk/hotels/1632075/,11,2026-03-19,2026-03-20
1785783,"Отель ""Белый Берег""",Братск,"Братск, улица Курчатова, 65",,,https://tvil.ru/city/bratsk/hotels/1785783/,5,2026-03-19,2026-03-20
2032078,Гостиница «Усадьба Егорова»,Иркутск,"Иркутск, улица Грязнова, 2",,,https://tvil.ru/city/irkutsk/hotels/2032078/,10,2026-03-19,2026-03-20
767249,"Отель ""Купеческий Дворъ""",Иркутск,"Иркутск, улица Седова, 10",,,https://tvil.ru/city/irkutsk/hotels/767249/,14,2026-03-19,2026-03-20
898794,"Бутик-отель ""Маруся""",Иркутск,"Иркутск, улица Седова, 12",,,https://tvil.ru/city/irkutsk/hotels/898794/,14,2026-03-19,2026-03-20
1129766,"Доходный дом ""М.А. Листратовой""",Иркутск,"Иркутск, Подгорная улица, 16",,,https://tvil.ru/city/irkutsk/hotels/1129766/,15,2026-03-19,2026-03-20
1343236,"Бутик-отель ""Аристократ""",Иркутск,"Иркутск, улица Ленина, 9",,,https://tvil.ru/city/irkutsk/hotels/1343236/,12,2026-03-19,2026-03-20
1345611,Гостиница,Хужир,"Хужир, Светлая улица, 5",,,https://tvil.ru/city/huzhir/hotels/1345611/,29,2026-03-19,2026-03-20
1335449,Отель Амурский,Иркутск,"Иркутск, улица Ленина, 34",,,https://tvil.ru/city/irkutsk/hotels/1335449/,17,2026-03-19,2026-03-20
1378154,"Гостиница ""Байкал - Северное море""",Иркутск,"Иркутск, Дальневосточная, 156",,,https://tvil.ru/city/irkutsk/hotels/1378154/,120,2026-03-19,2026-03-20
1802586,"Гостиница ""BAIKAL VIEW""",Хужир,"Хужир, Российская, 17",,,https://tvil.ru/city/huzhir/hotels/1802586/,99,2026-03-19,2026-03-20
1899852,Отель «Байкал-Аляска»,Иркутск,"Иркутск, Старо-Кузьмихинская улица, 37/3",,,https://tvil.ru/city/irkutsk/hotels/1899852/,24,2026-03-19,2026-03-20
1993192,"Парк-отель ""Алтан""",деревня Сарма,"деревня Сарма, территория база отдыха «Алтан», б/н",,,https://tvil.ru/city/derevnya-sarma/hotels/1993192/,21,2026-03-19,2026-03-20
1979910,"Отель""NUUR HOTEL""",Иркутск,"Иркутск, улица Карла Либкнехта, 85",,,https://tvil.ru/city/irkutsk/hotels/1979910/,28,2026-03-19,2026-03-20
2036706,"Отель ""Магистраль""",Нижнеудинск,"Нижнеудинск, Красноармейская улица, 43, 43",,,https://tvil.ru/city/nizhneudinsk/hotels/2036706/,21,2026-03-19,2026-03-20
1367536,"Отель ""Санаторий Солнечный""",Братск,"Братск, улица Северный Артек, 10",,,https://tvil.ru/city/bratsk/hotels/1367536/,125,2026-03-19,2026-03-20
2110558,"Гостиница ""Малый отель""",Ангарск,"Ангарск, 7 Микрорайон, 35",,,https://tvil.ru/city/angarsk/hotels/2110558/,11,2026-03-20,2026-03-20
1782205,"Гостиница ""Березка""",Иркутск,"Иркутск, улица Седова, 16/1",,,https://tvil.ru/city/irkutsk/hotels/1782205/,4,2026-03-20,2026-03-20
